"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATOH8",-2.25852391333292,3.46834089393152,-10.4589900530496,1.52442721457246e-23,1.64531842644199e-22,42.3123819565197
"HCN3",1.14128531358176,2.35643431839564,10.4562354946159,1.56207026580854e-23,1.6850141810876e-22,42.2882196085643
"ARHGAP29",-1.2585850939969,3.4590867052,-10.453560306983,1.5995116818522e-23,1.72444866396703e-22,42.2647576128314
"CD244",-1.0357729625528,1.62596471172128,-10.4504253930484,1.64452253410815e-23,1.77199574490118e-22,42.2372688945815
"COL11A1",2.90336405519829,2.95669466568483,10.4492587566767,1.66159218001337e-23,1.78939990540037e-22,42.2270405872931
"MRPL15",1.01361422485674,6.84160118138899,10.4479410786791,1.68108341644936e-23,1.80839326370722e-22,42.2154889769201
"LARGE2",1.88191028588507,4.55775281752124,10.4470819461327,1.6939138804856e-23,1.8211908716158e-22,42.2079578022419
"HECW2",-1.16820617987704,2.66069201431665,-10.4461679176667,1.70767092445789e-23,1.83497002973566e-22,42.1999458699941
"RAC3",1.72332190316044,4.31690298638518,10.4437967520723,1.74387865863559e-23,1.87181428064776e-22,42.1791635944849
"PIK3R5",-1.17035989672544,2.76647417878764,-10.4331551268768,1.91599234892763e-23,2.05316476819426e-22,42.0859336333239
"RAB8B",-1.05686240431474,4.39565674418506,-10.429152369716,1.98500843061754e-23,2.12478701549582e-22,42.050882677008
"PIK3IP1",-1.10795959930131,5.4700228668457,-10.4271404712689,2.02062426393153e-23,2.16172435652532e-22,42.0332685298059
"ARRDC4",-1.29143819834104,4.13181668537425,-10.4237004847718,2.0829966947919e-23,2.22601011170008e-22,42.0031568377682
"MYLK",-1.37220167610737,3.81700783878076,-10.4194607372866,2.16250534214204e-23,2.30971203109508e-22,41.9660537814929
"ANKRD66",-1.28776786849686,0.713845064397668,-10.4130532420984,2.28841862387404e-23,2.44285869849017e-22,41.9099997155765
"SLFN13",1.37665652966732,3.6950242641369,10.4114140963648,2.32178180792895e-23,2.47711764770451e-22,41.8956639034794
"ARHGAP11A",1.38273042690204,2.84857619745934,10.4086707195227,2.37870432185636e-23,2.5350748846538e-22,41.8716740264781
"IL18R1",-1.20319863084101,2.14167145814205,-10.3930210832566,2.73093523257933e-23,2.90569720900135e-22,41.7349056921921
