"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLLP",1.06874873038655,3.22733955208462,12.518064665198,1.85118291414672e-31,1.49807553421592e-29,60.6421499810913
"VSIG2",2.01401822916091,4.59603506924194,12.5095533486533,2.00854053880249e-31,1.61203975836482e-29,60.5614514183145
"FAM83D",-1.19960040858208,3.91788591532968,-12.4876698996937,2.47697398773417e-31,1.97985342962211e-29,60.354098322199
"HLA-DMA",1.10063526471169,7.37576115144424,12.4705152430211,2.91898766801129e-31,2.32363332609078e-29,60.1916843537648
"ARHGAP44",1.0060226457478,2.86346440417114,12.463612459634,3.11826139765089e-31,2.47217284708884e-29,60.1263642062906
"SELP",1.01782512930304,2.63541430989719,12.4584315655416,3.27667356382713e-31,2.58724552693605e-29,60.0773504816988
"UHRF1",-1.0785398085371,3.10129859147022,-12.4313536801825,4.24459112141494e-31,3.32458878076127e-29,59.8213542458789
"SNX30",1.06833495841732,4.05322183935476,12.4233828582088,4.580358529217e-31,3.57322929581277e-29,59.7460531191699
"MACROD2",1.36376003537045,2.02039037568475,12.4163378080262,4.89907191465773e-31,3.79153172823689e-29,59.6795189411432
"TMEM37",1.18317894119601,4.40952594523444,12.3663683694154,7.89006927274845e-31,6.03451062848679e-29,59.2081723316635
"ALPL",1.98915108293968,5.737312098532,12.3626721992237,8.17283475011082e-31,6.22635922388325e-29,59.1733472747484
"CGNL1",1.01217815351227,3.57475006092369,12.3498903825052,9.23072337484852e-31,7.00493377352805e-29,59.0529602912434
"TESMIN",-1.04152634391002,1.58239958800619,-12.3493558301888,9.27781948967103e-31,7.01338424445946e-29,59.0479269840962
"GDF10",1.22428854190028,1.73150572178823,12.3289431751603,1.12669852890708e-30,8.45153900356725e-29,58.855809149002
"VEPH1",1.30531466034598,2.39750095404021,12.3191171024927,1.23706128070982e-30,9.17353846299759e-29,58.7633891335803
"CDT1",-1.11528552572297,3.71920400494343,-12.3129339154506,1.31195902542539e-30,9.61922438829749e-29,58.7052526524786
"GGT6",1.76365380480539,2.91184482325115,12.2854108621157,1.7040248152281e-30,1.23544966436408e-28,58.4466595590824
"TMEM125",1.10010024458017,6.75828086562332,12.2584049732704,2.20175305863626e-30,1.57870551112437e-28,58.1932252144027
"CEBPA",1.28220062212879,4.36806851478923,12.2234656503419,3.06594716385349e-30,2.1902991771661e-28,57.8657827276259
"CTSG",1.10960167515649,1.54205586306908,12.2067292534519,3.59226499921588e-30,2.5476343374439e-28,57.7091109457471
"RTN4RL1",1.20056049705727,1.77728356788723,12.1847483719615,4.42238660142781e-30,3.12499296694371e-28,57.5035200863012
"ITIH5",1.04293556841449,1.89528837076395,12.177437521785,4.73879138047818e-30,3.33648549795906e-28,57.4351846888918
"NPC2",1.15734082396531,8.99294208079326,12.1701441139499,5.07688562638996e-30,3.53623215612441e-28,57.3670343543613
"TMEM100",1.39798108870749,2.44262529598082,12.1656120857672,5.29895922796647e-30,3.67777942430712e-28,57.3246977217421
"TMEM163",1.38583908469802,3.56531502742479,12.155963625727,5.80446695090297e-30,4.00494920975656e-28,57.2345935108026
"ECRG4",1.30096160219882,1.5436699759408,12.1558368882401,5.81141684028665e-30,4.00494920975656e-28,57.2334102025189
"KCNJ5",1.04104463748217,1.92238532010618,12.111598854909,8.82070769279536e-30,6.03614954851186e-28,56.820781545413
"SFTPA1",3.29951004077389,9.41307606921163,12.1078261954671,9.13990935028375e-30,6.21099832956738e-28,56.7856299454854
"CENPF",-1.19622226105521,3.52607388393611,-12.0906990742833,1.07398239010806e-29,7.27287449801301e-28,56.6261235235696
